Time;INDU.DK.TOT.COF.B.M;INDU.DK.TOT.1.B.M;INDU.DK.TOT.2.B.M;INDU.DK.TOT.3.B.M;INDU.DK.TOT.4.B.M;INDU.DK.TOT.5.B.M;INDU.DK.TOT.6.B.M;INDU.DK.TOT.7.B.M
31-01-1985;1;47;2;1;6;8;NA;5
28-02-1985;1;47;2;1;6;8;NA;5
31-03-1985;1;47;2;1;6;8;NA;5
30-04-1985;6;10;0;0;11;30;NA;14
31-05-1985;6;10;0;0;11;30;NA;14
30-06-1985;6;10;0;0;11;30;NA;14
31-07-1985;4;23;2;1;4;14;NA;3
31-08-1985;4;23;2;1;4;14;NA;3
30-09-1985;4;23;2;1;4;14;NA;3
31-10-1985;5;24;-1;-6;10;27;NA;0
30-11-1985;5;24;-1;-6;10;27;NA;0
31-12-1985;5;24;-1;-6;10;27;NA;0
31-01-1986;-7;30;-7;-19;16;2;NA;-3
28-02-1986;-7;30;-7;-19;16;2;NA;-3
31-03-1986;-7;30;-7;-19;16;2;NA;-3
30-04-1986;-5;-2;-9;-18;22;16;NA;2
31-05-1986;-5;-2;-9;-18;22;16;NA;2
30-06-1986;-5;-2;-9;-18;22;16;NA;2
31-07-1986;-10;19;-13;-25;17;0;NA;-2
31-08-1986;-10;19;-13;-25;17;0;NA;-2
30-09-1986;-10;19;-13;-25;17;0;NA;-2
31-10-1986;-6;0;-22;-30;17;20;NA;-4
30-11-1986;-6;0;-22;-30;17;20;NA;-4
31-12-1986;-6;0;-22;-30;17;20;NA;-4
31-01-1987;-19;13;-34;-39;19;-4;NA;-7
28-02-1987;-19;13;-34;-39;19;-4;NA;-7
31-03-1987;-19;13;-34;-39;19;-4;NA;-7
30-04-1987;-16;-8;-33;-35;26;12;NA;0
31-05-1987;-16;-8;-33;-35;26;12;NA;0
30-06-1987;-16;-8;-33;-35;26;12;NA;0
31-07-1987;-15;18;-34;-31;11;0;NA;-8
31-08-1987;-15;18;-34;-31;11;0;NA;-8
30-09-1987;-15;18;-34;-31;11;0;NA;-8
31-10-1987;-10;2;-35;-26;7;11;NA;-11
30-11-1987;-10;2;-35;-26;7;11;NA;-11
31-12-1987;-10;2;-35;-26;7;11;NA;-11
31-01-1988;-15;16;-30;-24;5;-10;NA;-18
29-02-1988;-15;16;-30;-24;5;-10;NA;-18
31-03-1988;-15;16;-30;-24;5;-10;NA;-18
30-04-1988;-8;1;-20;-16;14;11;NA;-2
31-05-1988;-8;1;-20;-16;14;11;NA;-2
