Time;CONS.DK.TOT.COF.B.M;CONS.DK.TOT.1.B.M;CONS.DK.TOT.2.B.M;CONS.DK.TOT.3.B.M;CONS.DK.TOT.4.B.M;CONS.DK.TOT.5.B.M;CONS.DK.TOT.6.B.M;CONS.DK.TOT.7.B.M;CONS.DK.TOT.8.B.M;CONS.DK.TOT.9.B.M;CONS.DK.TOT.10.B.M;CONS.DK.TOT.11.B.M;CONS.DK.TOT.12.B.M
01-01-1985;-0.4;-3.8;4.2;9.5;6.4;23.7;14.4;1.2;11.9;-8.3;50.4;-4.8;10.2
01-02-1985;-0.4;-3.8;4.2;9.5;6.4;23.7;14.4;1.2;11.9;-8.3;50.4;-4.8;10.2
01-03-1985;-0.4;-3.8;4.2;9.5;6.4;23.7;14.4;1.2;11.9;-8.3;50.4;-4.8;10.2
01-04-1985;-3.0;-4.6;0.3;-4.7;0.5;31.6;17.7;1.8;9.2;-8.0;44.2;-10.3;10.2
01-05-1985;-3.0;-4.6;0.3;-4.7;0.5;31.6;17.7;1.8;9.2;-8.0;44.2;-10.3;10.2
01-06-1985;-3.0;-4.6;0.3;-4.7;0.5;31.6;17.7;1.8;9.2;-8.0;44.2;-10.3;10.2
01-07-1985;-1.1;-3.0;2.5;-1.0;2.5;30.5;18.0;-5.0;12.0;-6.5;48.0;-8.5;10.5
01-08-1985;-1.1;-3.0;2.5;-1.0;2.5;30.5;18.0;-5.0;12.0;-6.5;48.0;-8.5;10.5
01-09-1985;-1.1;-3.0;2.5;-1.0;2.5;30.5;18.0;-5.0;12.0;-6.5;48.0;-8.5;10.5
01-10-1985;1.0;1.6;4.0;4.6;6.6;17.9;8.0;-12.0;15.4;-8.0;50.2;-1.7;12.8
01-11-1985;1.0;1.6;4.0;4.6;6.6;17.9;8.0;-12.0;15.4;-8.0;50.2;-1.7;12.8
01-12-1985;1.0;1.6;4.0;4.6;6.6;17.9;8.0;-12.0;15.4;-8.0;50.2;-1.7;12.8
01-01-1986;0.7;1.0;5.2;7.1;4.3;6.0;4.9;-8.6;14.6;-7.7;47.3;-1.2;10.2
01-02-1986;0.7;1.0;5.2;7.1;4.3;6.0;4.9;-8.6;14.6;-7.7;47.3;-1.2;10.2
01-03-1986;0.7;1.0;5.2;7.1;4.3;6.0;4.9;-8.6;14.6;-7.7;47.3;-1.2;10.2
01-04-1986;-3.9;-2.7;0.8;-10.9;-4.9;13.7;10.1;-6.1;12.6;-8.7;48.7;-7.1;9.9
01-05-1986;-5.2;-4.0;-1.0;-10.1;-5.3;16.2;8.4;-9.9;-2.7;-10.6;43.4;-5.8;9.1
01-06-1986;-5.3;-2.6;1.4;-15.2;-8.0;18.4;8.4;-1.5;-1.7;-11.9;39.8;-6.2;12.6
01-07-1986;-5.3;-2.6;1.4;-15.2;-8.0;18.4;8.4;-1.5;-1.7;-11.9;39.8;-6.2;12.6
01-08-1986;-3.2;-0.2;5.3;-5.9;-6.0;13.5;5.6;0.2;-0.2;-11.9;43.1;-6.9;10.4
01-09-1986;-6.9;-2.1;0.6;-19.2;-10.3;5.6;4.9;2.2;-2.5;-15.9;37.2;-7.7;7.7
01-10-1986;-4.3;0.1;2.8;-14.3;-8.4;7.9;6.7;8.2;3.2;-11.6;44.9;-6.6;11.5
01-11-1986;-9.2;-4.6;-3.3;-21.8;-14.9;6.6;6.1;24.7;-25.6;-14.0;44.5;-11.6;8.5
01-12-1986;-6.6;-1.0;-0.2;-21.3;-13.6;4.7;1.4;22.4;-21.3;-11.4;46.8;-11.7;9.0
01-01-1987;-5.9;-6.2;3.9;-18.1;-9.9;5.7;3.7;18.1;-16.4;-11.3;52.8;-9.2;7.9
01-02-1987;-4.7;-1.3;3.7;-14.5;-9.5;-0.4;10.2;14.0;-10.8;-11.7;44.8;-6.6;9.6
